idx,term,degree,is_noun_only,pos_tags,specificity,suggested,reason
151,ask,129,False,VERB,1.6217,True,non-noun and degree>=20
7,plan,68,True,NOUN,2.2551,False,
193,seek,36,False,VERB,2.8783,True,non-noun and degree>=20
74,think,35,False,VERB,2.9057,True,non-noun and degree>=20
18,recommendation,34,True,NOUN,2.9339,False,
195,tip,32,True,NOUN,2.9927,False,
63,consider,31,False,VERB,3.0235,True,non-noun and degree>=20
176,time,31,True,NOUN,3.0235,False,
19,look,30,False,VERB,3.0552,True,non-noun and degree>=20
44,want,29,False,VERB,3.088,True,non-noun and degree>=20
556,wake,26,False,VERB,3.1934,True,non-noun and degree>=20
140,believe,23,False,VERB,3.3112,True,non-noun and degree>=20
50,need,21,False,VERB,3.3982,True,non-noun and degree>=20
75,help,21,False,VERB,3.3982,True,non-noun and degree>=20
130,yoga,18,True,NOUN,3.5448,False,
141,add,18,False,VERB,3.5448,False,
510,class,18,True,NOUN,3.5448,False,
53,idea,17,True,NOUN,3.5988,False,
181,run,17,False,VERB,3.5988,False,
184,kitchen,17,True,NOUN,3.5988,False,
225,purchase,17,True,NOUN,3.5988,False,
494,morning,17,True,NOUN,3.5988,False,
302,see,16,False,VERB,3.656,False,
309,start,16,False,VERB,3.656,False,
335,advice,16,True,NOUN,3.656,False,
401,Luna,16,True,PROPN,3.656,False,
477,communicate,16,False,VERB,3.656,False,
45,improve,15,False,VERB,3.7166,False,
182,weekend,15,True,NOUN,3.7166,False,
558,routine,15,True,ADJ,3.7166,False,
388,stay,14,False,VERB,3.7812,False,
520,month,14,True,NOUN,3.7812,False,
845,include,14,False,VERB,3.7812,False,
37,Electric,13,True,NOUN,3.8501,False,
38,Storm,13,True,NOUN,3.8501,False,
61,party,13,True,NOUN,3.8501,False,
80,track,13,True,NOUN,3.8501,False,
201,work,13,False,VERB,3.8501,False,
230,recipe,13,False,VERB,3.8501,False,
320,take,13,False,VERB,3.8501,False,
351,store,13,True,NOUN,3.8501,False,
539,diversity,13,True,NOUN,3.8501,False,
756,flavor,13,True,NOUN,3.8501,False,
40,suggestion,12,True,NOUN,3.9243,False,
78,watch,12,False,VERB,3.9243,False,
133,replace,12,False,VERB,3.9243,False,
213,request,12,True,NOUN,3.9243,False,
218,base,12,True,NOUN,3.9243,False,
373,event,12,True,NOUN,3.9243,False,
443,give,12,False,VERB,3.9243,False,
568,create,12,False,VERB,3.9243,False,
4,home,11,True,NOUN,4.0043,False,
17,movie,11,True,NOUN,4.0043,False,
23,animal,11,True,NOUN,4.0043,False,
60,dinner,11,True,NOUN,4.0043,False,
143,friend,11,True,NOUN,4.0043,False,
152,know,11,False,VERB,4.0043,False,
204,product,11,True,NOUN,4.0043,False,
342,tourism,11,True,NOUN,4.0043,False,
649,bed,11,True,NOUN,4.0043,False,
730,recommend,11,False,VERB,4.0043,False,
132,mean,10,False,VERB,4.0913,False,
239,room,10,True,NOUN,4.0913,False,
246,week,10,True,NOUN,4.0913,False,
279,meditation,10,True,NOUN,4.0913,False,
339,bird,10,True,NOUN,4.0913,False,
341,Venice,10,True,NOUN,4.0913,False,
407,specie,10,True,PROPN,4.0913,False,
479,information,10,True,NOUN,4.0913,False,
13,game,9,True,NOUN,4.1866,False,
25,feel,9,False,VERB,4.1866,False,
96,hear,9,False,VERB,4.1866,False,
125,check,9,False,VERB,4.1866,False,
161,address,9,True,NOUN,4.1866,False,
259,suggest,9,False,VERB,4.1866,False,
298,experience,9,True,NOUN,4.1866,False,
299,identity,9,True,NOUN,4.1866,False,
318,listen,9,False,VERB,4.1866,False,
419,note,9,False,VERB,4.1866,False,
